decalage	unique	phase	marge	rx_avant	daram_len	vraies	crc_ok	sb_tentees	fb_acceptees
-2	0	0.3	0	1	380	0	5	54	59
-2	0	0.3	10	0	296	0	1	58	61
-2	0	0.3	10	0	380	0	1	58	61
-2	0	0.3	10	1	296	0	3	54	60
-2	0	0.3	10	1	380	0	3	54	60
-2	0	0.3	21	0	296	0	0	62	63
-2	0	0.3	21	0	380	0	0	62	63
-2	0	0.3	21	1	296	0	4	56	61
-2	0	0.3	21	1	380	0	4	56	61
-2	0	0.3	30	0	296	0	4	59	64
-2	0	0.3	30	0	380	0	4	59	64
-2	0	0.3	30	1	296	0	2	54	59
-2	0	0.3	30	1	380	0	2	54	59
-2	0	0.3	41	0	296	0	6	58	63
-2	0	0.3	41	0	380	0	6	58	63
-2	0	0.3	41	1	296	0	4	53	60
-2	0	0.3	41	1	380	0	4	53	60
-2	0	0.4	0	0	296	0	0	60	61
-2	0	0.4	0	0	380	0	0	60	61
-2	0	0.4	0	1	296	0	2	57	60
-2	0	0.4	0	1	380	0	2	57	60
-2	0	0.4	10	0	296	0	1	57	61
-2	0	0.4	10	0	380	0	1	57	61
-2	0	0.4	10	1	296	0	3	53	59
-2	0	0.4	10	1	380	0	3	53	59
-2	0	0.4	21	0	296	0	1	59	64
-2	0	0.4	21	0	380	0	1	59	64
-2	0	0.4	21	1	296	0	1	56	61
-2	0	0.4	21	1	380	0	1	56	61
-2	0	0.4	30	0	296	0	1	58	60
-2	0	0.4	30	0	380	0	1	58	60
-2	0	0.4	30	1	296	0	2	57	58
-2	0	0.4	30	1	380	0	2	57	58
-2	0	0.4	41	0	296	0	1	58	60
-2	0	0.4	41	0	380	0	1	58	60
-2	0	0.4	41	1	296	0	0	58	59
-2	0	0.4	41	1	380	0	0	58	59
-2	0	0.5	0	0	296	0	2	58	63
-2	0	0.5	0	0	380	0	2	58	63
-2	0	0.5	0	1	296	0	1	58	58
-2	0	0.5	0	1	380	0	1	58	58
-2	0	0.5	10	0	296	0	1	58	61
-2	0	0.5	10	0	380	0	1	58	61
-2	0	0.5	10	1	296	0	4	53	58
-2	0	0.5	10	1	380	0	4	53	58
-2	0	0.5	21	0	296	0	6	57	62
-2	0	0.5	21	0	380	0	6	57	62
-2	0	0.5	21	1	296	0	1	57	61
